"X.U.FEFF.Palavra_Chave";"Bundle_Id";"Nome_do_aplicativo";"Numero_de_avaliacoes";"Numero_de_estrelas";"Numero_de_instalacoes";"Tamanho.do.aplicativo";"Numero_de_comentarios";"Avaliacoes_sem_comentario";"grupos"
"learn code";"ru.code_samples.obraztsov_develop.codesamples_free";"Code Free";15;4,9;500;2,1;8;7;3
"learn code";"com.codeliber.css";"Learn CSS";103;4,7;10000;4,4;61;42;3
"learn code";"lifegoal.helpinghands.machinelearning";"Machine Learning Tutorial";12;4,8;5000;6,6;9;3;3
"learn code";"com.appsfactory.htmlcssjsbootstrap";"Learn Web Development Complete Bootcamp 2019";61;4,5;1000;11;29;32;3
"learn code";"com.namit.www.ndroid";"Learn Android App Development with Ndroid";95;4,7;1000;27;64;31;3
"learn code";"mobi.abcmouse.academy_goo";"ABCmouse.com";56027;4;10000000;98;18753;37274;2
"learn code";"learn.reactnative.tutorial";"Learn React Native Tutorial";35;4,3;10000;8,6;24;11;3
"learn code";"com.wandcode.cheatsheet";"Code Cheat Sheets - Programming References";20;4;1000;4,6;13;7;3
"learn code";"techhunt.com.androidexamples";"Learn Android Codes";63;3,8;5000;5,3;42;21;3
"learn code";"com.app1daily.learnmatlab";"Learn MATLAB Complete Guide Offline";45;4,4;10000;2,1;10;35;3
"learn code";"com.duhnnae.programmingprogramacion";"Programming - Learning - Tutorials";57;4,4;10000;7,1;39;18;3
"learn code";"com.riyazsiddiquiexti.androidlearningtutorial";"Learn Android Tutorial - Android App Development";44;4,9;1000;5,6;31;13;3
"learn code";"com.apkzube.learnkotlin";"Learn Kotlin";80;4,4;10000;5;56;24;3
"learn code";"com.codeliber.html";"Learn HTML";393;4,6;10000;3,6;205;188;3
"learn code";"sambhaji.android.java";"Learn Android Java";840;4,2;100000;10;284;556;3
"learn code";"micro.bots.learn.html5";"learn html - learn to code";18;4,6;500;3,7;13;5;3
"learn code";"pl.maciejsadyapps.morsetrainer";"Morse Trainer";115;3,9;10000;0,74609375;53;62;3
"learn code";"app.compiler";"Online Compiler (Beta)";10023;4,4;100000;2,6;4535;5488;3
"learn code";"gudev.learn.phpprogrammingcoding";"Learn PHP Programming Coding";36;4,3;10000;12;15;21;3
"learn code";"com.bootstrap.code.play";"Bootstrap Code Play";147;4,4;10000;4,5;73;74;3
"learn code";"com.binarytuts.cprogrammingcode";"C Programming Code";9;4,8;5000;26;4;5;3
"learn code";"com.codetoinvent.malik.cplusplus";"Learn C++ Programming - Tutorial";108;4,6;10000;8,4;48;60;3
"learn code";"com.programminginbangla";"<U+09AC><U+09BE><U+0982><U+09B2><U+09BE><U+09DF> <U+09AA><U+09CD><U+09B0><U+09CB><U+0997><U+09CD><U+09B0><U+09BE><U+09AE><U+09BF><U+0982>";185;4,3;10000;6,4;95;90;3
"learn code";"com.skycodetech.codingquiz";"Coding Quiz (programming)";234;4,5;10000;4,3;111;123;3
"learn code";"com.code.jupiter.learnjavascript";"Learn JavaScript Offline Tutorial";214;4,4;10000;4,5;101;113;3
"learn code";"com.reezx.android.learncprogramming";"Learn C [NEW]";354;4,4;50000;11;139;215;3
"learn code";"com.quizmine.csref";"Learn Computer Science";1194;4,3;100000;20;278;916;3
"learn code";"learn.web.php";"Learn Web Development";1759;4,3;100000;6;581;1178;3
"learn code";"com.sizzlesoftlabs.learn.expertc";"Expert C Programming - Learn C Coding Easily";90;4,3;10000;7,3;53;37;3
"learn code";"com.paprbit.dcoder";"Dcoder, Compiler IDE :Code & Programming on mobile";18280;4,4;1000000;6,5;8350;9930;1
"learn code";"bishrulhaq.learntocode";"Learn To Code : Free & Offline";31;4,3;10000;12;15;16;3
"learn code";"com.djm.offlinepythonnotes";"Learn Python Offline- Tutorial and Interpreter";772;4,4;50000;4,2;337;435;3
"learn code";"air.com.rosettastone.mobile.CoursePlayer";"Rosetta Stone: Learn Languages";194663;4,6;10000000;31;72775;121888;2
"learn code";"com.codepoint.learnphp7";"Learn PHP Programming Offline - PHP Tutorials Free";35;4,3;1000;10;19;16;3
"learn code";"com.code.jupiter.learnphp";"Learn PHP - Offline Tutorial";235;4,4;10000;4;146;89;3
"learn code";"com.vedprakashwagh.learnandroid";"Learn Android (XML, Java, Kotlin)";117;4,3;10000;6,2;60;57;3
"learn code";"com.getmimo";"Mimo: Learn to Code";90231;4,5;1000000;16;36878;53353;4
"learn code";"sql.code.play";"SQL Code Play";461;4,1;50000;4,2;270;191;3
"learn code";"com.sololearn.sql";"Learn SQL";19440;4,6;1000000;6,2;6084;13356;1
"learn code";"mobile.olimpia.com.aprendeelectronica";"Learn electronics";704;4,3;100000;6,4;364;340;3
"learn code";"com.sololearn.csstrial";"Learn CSS";13459;4,7;1000000;6,2;4352;9107;1
"learn code";"tursky.jan.nauc.sa.html5";"Learn programming";12829;3,8;1000000;6,8;2832;9997;1
"learn code";"com.codepoint.learncplusplus";"Learn C++ Programming Offline - C++ Tutorials Free";15;4,1;1000;2,5;10;5;3
"learn code";"all.about.computer";"All About Computer | Learn computer | Computer |";62;4,4;10000;9,8;35;27;3
"learn code";"com.sphero.sprk";"Sphero Edu - Coding for Sphero Robots";2328;4,3;100000;75;1060;1268;3
"learn code";"com.app4daily.computerrepairingcourse";"Learn Computer Programming";14;4,4;5000;2,3;6;8;3
"learn code";"com.doasido4u.jsquiz";"JavaScript Quiz";81;4,7;10000;2,8;33;48;3
"learn code";"com.codepoint.learnandroid";"Learn Android App Development for Beginners";178;4,1;10000;5,7;93;85;3
"learn code";"com.LM.PGS";"Learn Programming - Hindi";141;4,1;10000;6,1;70;71;3
"learn code";"com.skyapper.hb.learncnet";"Learn C#.NET";36;4,3;10000;4,1;21;15;3
"learn code";"programming.android.tutorial";"Android Tutorial: Learn Android, Java & Kotlin";585;4,3;10000;8;320;265;3
"learn code";"com.japangor.learnjs";"Learn To Code (JavaScript)";6;2,8;1000;21;4;2;3
"learn code";"com.W3school.Anbu";"W3school";305;4,2;100000;78;132;173;3
"learn code";"com.clickapp.ik.listview";"IT Books: Free Programming Books, coding books";10;4,8;1000;29;7;3;3
"learn code";"com.amensah.easycoder";"EASY CODER : Learn to develop & run java programs";120;4,5;10000;7,3;78;42;3
"learn code";"com.app1daily.learncobol";"Learn COBOL Complete Guide Offline";7;4,6;1000;1,5;3;4;3
"learn code";"com.aniketo.ds";"Learn Programming C, C++ , Java, PHP";25;4,8;1000;4,5;13;12;3
"learn code";"excel.shortcuts";"Learn Excel Full";2034;4,4;100000;4,9;747;1287;3
"learn code";"learn.apps.htmlprogramming";"Learn HTML5 Programming";26;4,5;10000;2,8;9;17;3
"learn code";"com.sortedqueue.programmercreek";"Practice Code : Learn Programming";118;4,4;10000;7,5;50;68;3
"learn code";"info.cntrlapps.prolearn";"LearnProg | Learn Programming Languages";7;3,9;500;3,4;5;2;3
"learn code";"com.improvecodingskills.learnandroidprogramming";"Learn Android Programming";360;4,1;50000;11;125;235;3
"learn code";"com.codetoinvent.malik.cprogramming";"Learn C Programming";39;4,6;1000;7,8;21;18;3
"learn code";"afsar.com.codeacademy";"Code Academy";26;4;5000;12;10;16;3
"learn code";"com.kids.coding.connectdots";"Programming for Kids - Learn Coding";25;3,3;10000;13;13;12;3
"learn code";"com.kano.app";"Kano Code";65;2,3;10000;85;53;12;3
"learn code";"name.antonsmirnov.android.cppdroid";"CppDroid - C/C++ IDE";32160;4,1;1000000;46;8239;23921;1
"learn code";"com.apps.athena.programminglanguages";"Programming Languages";418;4,4;100000;3,3;160;258;3
"learn code";"randomappsinc.com.sqlpracticeplus";"SQL Practice PRO - Learn SQL Databases";4007;4,7;100000;1,4;1620;2387;3
"learn code";"com.appybuilder.aadi_ben16.CTuit";"C Programming Robot - Learn Coding & C Theory";11;4,6;1000;13;5;6;3
"learn code";"com.codepoint.learnreactjs";"Learn React 16.9 - ReactJs Tutorials & Guide <U+0001F913>";640;3,9;10000;8,3;260;380;3
"learn code";"cc.taimoor.rubycourse";"Ruby Course: Learn to code, programming free<U+0001F48E> <U+0001F4AA>";22;5;500;16;14;8;3
"learn code";"com.sky.learnhtml5";"Learn HTML";10;4,6;500;3;8;2;3
"learn code";"learn.apps.arduinoprogramming";"Learn Arduino Programming";116;4,4;50000;7,9;46;70;3
"learn code";"com.linkedin.android.learning";"LinkedIn Learning: Online Courses to Learn Skills";15605;4,7;1000000;14;5989;9616;1
"learn code";"com.ryzac.codecademygo";"Codecademy Go";641;3,3;100000;53;377;264;3
"learn code";"com.sololearn.jquery";"Learn jQuery";568;4,5;100000;6,2;212;356;3
"learn code";"com.japangor.python";"Learn To Code (PYTHON)";72;3,7;10000;18;28;44;3
"learn code";"ru.code_samples.obraztsov_develop.codesamples_csharp";"C# Recipes";152;4,3;10000;1,2;63;89;3
"learn code";"com.milcanx.learnandroidapp";"Learn Android With Source Code";291;4,3;50000;12;105;186;3
"learn code";"com.codepoint.learndart";"Learn Dart Programming Free - Dart Tutorials";24;4,3;5000;4,8;13;11;3
"learn code";"com.lekastudio.learnhcj";"Learn Html Css Javascript";71;4,4;10000;1,9;31;40;3
"learn code";"com.codepoint.learnkotlin";"Learn Kotlin Programming Free - Kotlin Tutorials";16;4;1000;2,4;8;8;3
"learn code";"com.successcrazzy.datascience101";"Data Science 101 - Machine Learning Tutorials";606;4,2;100000;3,3;258;348;3
"learn code";"com.codepoint.learnnodejs";"Learn Node.js Programming Free - Node Js Tutorials";121;4,3;5000;4,3;41;80;3
"learn code";"net.joeyt.learnable";"Learnable: Learn to code";24;4,2;500;2,4;13;11;3
"learn code";"com.limesdevelopment.morsecode";"Morse code - learn and play";192;4,5;10000;12;116;76;3
"learn code";"com.antlem.coderhub";"CoderHub-Learn Coding Free";34;4,6;1000;3;16;18;3
"learn code";"com.creativeworld.android.geeks_code";"Geeks Code: All Programming Books in one place";51;3,9;1000;7,5;38;13;3
"learn code";"cordova.code.play";"Learn Android Code Play iOS, Windows, hybrid app";165;4,7;10000;6,9;128;37;3
"learn code";"ab.java.programming";"Java Programming";9578;3,4;1000000;3,5;3156;6422;1
"learn code";"com.xtelltechnologies.htmltutoriallearncodetagscss";"HTML Tutorial Code Tags CSS";27;4,2;10000;2,3;12;15;3
"learn code";"pk.mitz.calculatorsworld.computerscience";"Computer & Coding Learning App";8;3,5;1000;11;4;4;3
"learn code";"com.redlee90.learn6502assembly";"Learn 6502 Assembly";220;4,5;10000;2,5;104;116;3
"learn code";"trycodehub.com";"Code Hub";351;4,4;50000;2,4;138;213;3
"learn code";"learn.apps.androidprogramming";"Learn Android Programming";43;4,1;10000;5,9;17;26;3
"learn code";"com.jaypeesoft.ds";"Data Structures & Coding Interview Algorithms";554;4,6;100000;11;207;347;3
"learn code";"com.skyapper.learnphp";"Learn PHP";15;4,8;5000;6,3;10;5;3
"learn code";"morsecode.ort.com.morse";"Morse Code";644;4,3;100000;5,9;217;427;3
